Resolucao,Kernel,Iteracoes,BlockSize,Tempo,Occupancy
4096,3,100,0,11.218489,0.00
4096,3,500,0,55.427355,0.00
4096,3,1000,0,111.158628,0.00
512,5,100,0,0.423979,0.00
512,5,500,0,2.146021,0.00
512,5,1000,0,4.180374,0.00
1024,5,100,0,1.685725,0.00
1024,5,500,0,8.544734,0.00
1024,5,1000,0,16.920229,0.00
2048,5,100,0,6.825475,0.00
2048,5,500,0,33.942247,0.00
2048,5,1000,0,69.046244,0.00
4096,5,100,0,27.182043,0.00
4096,5,500,0,136.105808,0.00
4096,5,1000,0,272.229088,0.00
512,3,100,0,0.172737,0.00
512,3,500,0,0.852099,0.00
512,3,1000,0,1.703984,0.00
1024,3,100,0,0.698079,0.00
1024,3,500,0,3.466445,0.00
1024,3,1000,0,6.898804,0.00
2048,3,100,0,2.803617,0.00
2048,3,500,0,14.115832,0.00
2048,3,1000,0,29.549298,0.00
4096,3,100,0,11.191456,0.00
4096,3,500,0,56.155760,0.00
4096,3,1000,0,111.313564,0.00
512,5,100,0,0.421924,0.00
512,5,500,0,2.123694,0.00
512,5,1000,0,4.168303,0.00
1024,5,100,0,1.686277,0.00
1024,5,500,0,8.494986,0.00
1024,5,1000,0,16.965441,0.00
2048,5,100,0,6.873220,0.00
2048,5,500,0,34.371808,0.00
2048,5,1000,0,67.904506,0.00
4096,5,100,0,27.391036,0.00
4096,5,500,0,136.036147,0.00
4096,5,1000,0,271.508174,0.00
512,3,100,0,0.174913,0.00
512,3,500,0,0.877504,0.00
512,3,1000,0,1.750740,0.00
1024,3,100,0,0.707529,0.00
1024,3,500,0,3.501900,0.00
1024,3,1000,0,6.900006,0.00
2048,3,100,0,2.817792,0.00
2048,3,500,0,14.036436,0.00
2048,3,1000,0,27.956893,0.00
4096,3,100,0,11.277428,0.00
4096,3,500,0,56.009925,0.00
4096,3,1000,0,110.687343,0.00
