Resolucao,Kernel,Iteracoes,Threads,Tempo
2048,3,1000,4,3.907157
2048,3,1000,8,2.853616
512,3,100,1,0.096035
512,3,100,2,0.051710
512,3,100,4,0.027588
512,3,100,8,0.025991
512,3,500,1,0.351732
512,3,500,2,0.195331
512,3,500,4,0.127432
512,3,500,8,0.126719
512,3,1000,1,0.687100
512,3,1000,2,0.389830
512,3,1000,4,0.254541
512,3,1000,8,0.252476
1024,3,100,1,0.288089
1024,3,100,2,0.155410
1024,3,100,4,0.090560
1024,3,100,8,0.071972
1024,3,500,1,1.309572
1024,3,500,2,0.725663
1024,3,500,4,0.446160
1024,3,500,8,0.353154
1024,3,1000,1,2.608492
1024,3,1000,2,1.443848
1024,3,1000,4,0.882980
1024,3,1000,8,0.708590
2048,3,100,1,1.104389
2048,3,100,2,0.592204
2048,3,100,4,0.362349
2048,3,100,8,0.268499
2048,3,500,1,5.288425
2048,3,500,2,2.991555
2048,3,500,4,1.832616
2048,3,500,8,1.348174
2048,3,1000,1,10.540090
2048,3,1000,2,6.046780
2048,3,1000,4,3.778507
2048,3,1000,8,2.834164
